chuHan,pinyin,nghia,viDu,viDuPinyin,viDuNghia,chuDe
馬,mǎ,Bộ Mã — ngựa,,,,10 nét
骨,gǔ,Bộ Cốt — xương,,,,10 nét
高,gāo,Bộ Cao — cao,,,,10 nét
髟,biāo,Bộ Tiêu — tóc dài,,,,10 nét
鬥,dòu,Bộ Đấu — đánh nhau,,,,10 nét
鬯,chàng,Bộ Sưởng — rượu nếp,,,,10 nét
鬲,lì,Bộ Cách — cái đỉnh,,,,10 nét
鬼,guǐ,Bộ Quỷ — ma quỷ,,,,10 nét
魚,yú,Bộ Ngư — cá,,,,11 nét
鳥,niǎo,Bộ Điểu — chim,,,,11 nét
鹵,lǔ,Bộ Lỗ — đất mặn,,,,11 nét
鹿,lù,"Bộ Lộc — hươu, nai",,,,11 nét
麥,mài,Bộ Mạch — lúa mì,,,,11 nét
麻,má,Bộ Ma — cây gai,,,,11 nét
黃,huáng,Bộ Hoàng — vàng,,,,12 nét
黍,shǔ,Bộ Thử — lúa nếp,,,,12 nét
黑,hēi,Bộ Hắc — đen,,,,12 nét
黹,zhǐ,Bộ Chỉ — may vá,,,,12 nét
黽,mǐn,Bộ Mãnh — con ếch,,,,13 nét
鼎,dǐng,Bộ Đỉnh — cái vạc,,,,13 nét
鼓,gǔ,Bộ Cổ — cái trống,,,,13 nét
鼠,shǔ,Bộ Thử — con chuột,,,,13 nét
鼻,bí,Bộ Tị — mũi,,,,14 nét
齊,qí,Bộ Tề — ngang bằng,,,,14 nét
齒,chǐ,Bộ Xỉ — răng,,,,15 nét
龍,lóng,Bộ Long — rồng,,,,16 nét
龜,guī,Bộ Quy — rùa,,,,16 nét
龠,yuè,Bộ Dược — ống sáo,,,,17 nét
