chuHan,pinyin,nghia,viDu,viDuPinyin,viDuNghia,chuDe
戈,gē,Bộ Qua — giáo mác,干戈,gāngē,can qua (chiến tranh),Đồ vật & công cụ (mở rộng)
斤,jīn,Bộ Cân — rìu; cân,斤两,jīnliǎng,cân lạng,Đồ vật & công cụ (mở rộng)
矛,máo,Bộ Mâu — giáo,矛盾,máodùn,mâu thuẫn,Đồ vật & công cụ (mở rộng)
矢,shǐ,Bộ Thỉ — mũi tên,弓矢,gōngshǐ,cung tên,Đồ vật & công cụ (mở rộng)
斗,dǒu,Bộ Đẩu — cái đấu,北斗,běidǒu,sao Bắc Đẩu,Đồ vật & công cụ (mở rộng)
匕,bǐ,Bộ Chủy — thìa; dao găm,匕首,bǐshǒu,dao găm,Đồ vật & công cụ (mở rộng)
皿,mǐn,Bộ Mãnh — bát đĩa,器皿,qìmǐn,đồ đựng,Đồ vật & công cụ (mở rộng)
网,wǎng,Bộ Võng — lưới,鱼网,yúwǎng,lưới cá,Đồ vật & công cụ (mở rộng)
舟,zhōu,Bộ Chu — thuyền,小舟,xiǎozhōu,con thuyền,Đồ vật & công cụ (mở rộng)
页,yè,Bộ Hiệt — trang; đầu,一页,yíyè,một trang,Đồ vật & công cụ (mở rộng)
音,yīn,Bộ Âm — âm thanh,声音,shēngyīn,âm thanh,Đồ vật & công cụ (mở rộng)
瓦,wǎ,Bộ Ngõa — ngói,瓦片,wǎpiàn,mảnh ngói,Đồ vật & công cụ (mở rộng)
