chuHan,pinyin,nghia,viDu,viDuPinyin,viDuNghia,chuDe
人,rén,Bộ Nhân — người,人们,rénmen,mọi người,Người & cơ thể
口,kǒu,Bộ Khẩu — miệng,门口,ménkǒu,cửa ra vào,Người & cơ thể
女,nǚ,"Bộ Nữ — nữ, phụ nữ",女人,nǚrén,phụ nữ,Người & cơ thể
子,zǐ,"Bộ Tử — con, đứa trẻ",孩子,háizi,đứa trẻ,Người & cơ thể
目,mù,Bộ Mục — mắt,目光,mùguāng,ánh mắt,Người & cơ thể
耳,ěr,Bộ Nhĩ — tai,耳朵,ěrduo,cái tai,Người & cơ thể
心,xīn,"Bộ Tâm — tim, lòng",小心,xiǎoxīn,cẩn thận,Người & cơ thể
手,shǒu,Bộ Thủ — tay,手机,shǒujī,điện thoại,Người & cơ thể
足,zú,Bộ Túc — chân,足球,zúqiú,bóng đá,Người & cơ thể
见,jiàn,"Bộ Kiến — thấy, nhìn",看见,kànjiàn,nhìn thấy,Người & cơ thể
