chuHan,pinyin,nghia,viDu,viDuPinyin,viDuNghia,chuDe
見,jiàn,"Bộ Kiến — thấy, nhìn",,,,7 nét
角,jiǎo,Bộ Giác — sừng,,,,7 nét
言,yán,Bộ Ngôn — lời nói,,,,7 nét
谷,gǔ,Bộ Cốc — thung lũng,,,,7 nét
豆,dòu,Bộ Đậu — hạt đậu,,,,7 nét
豕,shǐ,Bộ Thỉ — con lợn,,,,7 nét
豸,zhì,Bộ Trĩ — thú không chân,,,,7 nét
貝,bèi,Bộ Bối — vỏ sò (tiền của),,,,7 nét
赤,chì,Bộ Xích — đỏ,,,,7 nét
走,zǒu,"Bộ Tẩu — đi, chạy",,,,7 nét
足,zú,Bộ Túc — chân,,,,7 nét
身,shēn,Bộ Thân — thân thể,,,,7 nét
車,chē,Bộ Xa — xe,,,,7 nét
辛,xīn,Bộ Tân — cay,,,,7 nét
辰,chén,Bộ Thần — chi Thìn; sớm,,,,7 nét
辵,chuò,Bộ Sước — chợt bước đi,,,,7 nét
邑,yì,"Bộ Ấp — làng, ấp",,,,7 nét
酉,yǒu,Bộ Dậu — chi Dậu; rượu,,,,7 nét
釆,biàn,Bộ Biện — phân biệt,,,,7 nét
里,lǐ,Bộ Lý — làng; dặm,,,,7 nét
金,jīn,"Bộ Kim — vàng, kim loại",,,,8 nét
長,cháng,Bộ Trường — dài,,,,8 nét
門,mén,Bộ Môn — cửa,,,,8 nét
阜,fù,Bộ Phụ — gò đất,,,,8 nét
隶,lì,Bộ Lệ — nô lệ; theo,,,,8 nét
隹,zhuī,Bộ Chuy — chim đuôi ngắn,,,,8 nét
雨,yǔ,Bộ Vũ — mưa,,,,8 nét
靑,qīng,Bộ Thanh — xanh,,,,8 nét
非,fēi,Bộ Phi — không phải,,,,8 nét
面,miàn,Bộ Diện — mặt,,,,9 nét
革,gé,Bộ Cách — da thuộc; đổi,,,,9 nét
韋,wéi,Bộ Vi — da mềm,,,,9 nét
韭,jiǔ,Bộ Cửu — hẹ,,,,9 nét
音,yīn,Bộ Âm — âm thanh,,,,9 nét
頁,yè,Bộ Hiệt — trang; đầu,,,,9 nét
風,fēng,Bộ Phong — gió,,,,9 nét
飛,fēi,Bộ Phi — bay,,,,9 nét
食,shí,Bộ Thực — ăn,,,,9 nét
首,shǒu,Bộ Thủ — đầu,,,,9 nét
香,xiāng,Bộ Hương — thơm,,,,9 nét
