chuHan,pinyin,nghia,viDu,viDuPinyin,viDuNghia,chuDe
爱,ài,yêu,我爱你。,wǒ ài nǐ 。,Anh yêu em.,Động từ thường dùng
八,bā,tám,他有八个苹果。,tā yǒu bā gè píng guǒ 。,Anh ấy có tám quả táo.,Số đếm & Lượng từ
爸爸,bàba,bố,我的爸爸很高。,wǒ de bà bà hěn gāo 。,Bố tôi rất cao.,Gia đình & Con người
杯子,bēizi,cốc,这是我的杯子。,zhè shì wǒ de bēi zi 。,Đây là cốc của tôi.,Đồ vật & Mua sắm
北京,Běijīng,Bắc Kinh,北京很大。,běi jīng hěn dà 。,Bắc Kinh rất lớn.,Địa điểm & Giao thông
本,běn,cuốn (dùng cho sách),这本书很有趣。,zhè běn shū hěn yǒu qù 。,Cuốn sách này rất thú vị.,Số đếm & Lượng từ
不客气,bú kèqì,không có gì (đáp lại lời cảm ơn),不客气。,bú kè qì 。,Không có gì.,Chào hỏi & Lễ phép
不,bù,không,他不喜欢吃鱼。,tā bù xǐ huān chī yú 。,Anh ấy không thích ăn cá.,Ngữ pháp & Liên từ
菜,cài,"món ăn, rau củ",我喜欢吃菜。,wǒ xǐ huān chī cài 。,Tôi thích ăn rau.,Đồ ăn & Thức uống
茶,chá,trà,我喝茶。,wǒ hē chá 。,Tôi uống trà.,Đồ ăn & Thức uống
吃,chī,ăn,我吃苹果。,wǒ chī píng guǒ 。,Tôi ăn táo.,Đồ ăn & Thức uống
出租车,chūzūchē,taxi,我坐出租车。,wǒ zuò chū zū chē 。,Tôi đi taxi.,Địa điểm & Giao thông
打电话,dǎ diànhuà,gọi điện thoại,她给我打电话。,tā gěi wǒ dǎ diàn huà 。,Cô ấy gọi điện cho tôi.,Động từ thường dùng
大,dà,"lớn, to",这件衣服很大。,zhè jiàn yī fú hěn dà 。,Bộ quần áo này rất rộng.,Tính từ & Trạng thái
的,de,của (thuộc tính),这是我的书。,zhè shì wǒ de shū 。,Đây là sách của tôi.,Ngữ pháp & Liên từ
点,diǎn,giờ (trong thời gian),现在是三点。,xiàn zài shì sān diǎn 。,Bây giờ là ba giờ.,Số đếm & Lượng từ
电脑,diànnǎo,máy tính,我用电脑。,wǒ yòng diàn nǎo 。,Tôi dùng máy tính.,Đồ vật & Mua sắm
电视,diànshì,ti vi,电视很大。,diàn shì hěn dà 。,Cái tivi rất lớn.,Đồ vật & Mua sắm
电影,diànyǐng,phim,我喜欢看电影。,wǒ xǐ huān kàn diàn yǐng 。,Tôi thích xem phim.,Đồ vật & Mua sắm
东西,dōngxī,"đồ vật, thứ",这是什么东西？,zhè shì shén me dōng xī ？,Đây là cái gì?,Đồ vật & Mua sắm
都,dōu,đều,我们都去学校。,wǒ men dōu qù xué xiào 。,Chúng tôi đều đến trường.,Ngữ pháp & Liên từ
读,dú,đọc,她读书很快。,tā dú shū hěn kuài 。,Cô ấy đọc sách rất nhanh.,Động từ thường dùng
对不起,duìbùqǐ,xin lỗi,对不起，我迟到了。,duì bù qǐ ， wǒ chí dào le 。,"Xin lỗi, tôi đến muộn.",Chào hỏi & Lễ phép
多,duō,nhiều,我有很多书。,wǒ yǒu hěn duō shū 。,Tôi có rất nhiều sách.,Tính từ & Trạng thái
多少,duōshǎo,bao nhiêu,这本书多少钱？,zhè běn shū duō shǎo qián ？,Cuốn sách này bao nhiêu tiền?,Số đếm & Lượng từ
儿子,érzi,con trai,我的儿子很聪明。,wǒ de ér zi hěn cōng míng 。,Con trai tôi rất thông minh.,Gia đình & Con người
二,èr,hai,我喜欢“二”数字。,wǒ xǐ huān “ èr ” shù zì 。,Tôi thích con số “hai”.,Số đếm & Lượng từ
饭馆,fànguǎn,nhà hàng,我们去饭馆吃饭。,wǒ men qù fàn guǎn chī fàn 。,Chúng tôi đến nhà hàng ăn cơm.,Đồ ăn & Thức uống
飞机,fēijī,máy bay,飞机很快。,fēi jī hěn kuài 。,Máy bay rất nhanh.,Địa điểm & Giao thông
分钟,fēnzhōng,phút,他等了五分钟。,tā děng le wǔ fēn zhōng 。,Anh ấy đợi năm phút.,Thời gian
