chuHan,pinyin,nghia,viDu,viDuPinyin,viDuNghia,chuDe
白,bái,Bộ Bạch — trắng,白色,báisè,màu trắng,Màu sắc & trừu tượng
黑,hēi,Bộ Hắc — đen,黑色,hēisè,màu đen,Màu sắc & trừu tượng
青,qīng,Bộ Thanh — xanh,青色,qīngsè,màu xanh,Màu sắc & trừu tượng
赤,chì,Bộ Xích — đỏ,赤色,chìsè,màu đỏ,Màu sắc & trừu tượng
黄,huáng,Bộ Hoàng — vàng,黄色,huángsè,màu vàng,Màu sắc & trừu tượng
色,sè,Bộ Sắc — màu sắc,颜色,yánsè,màu sắc,Màu sắc & trừu tượng
玄,xuán,"Bộ Huyền — huyền, đen",玄妙,xuánmiào,huyền diệu,Màu sắc & trừu tượng
文,wén,"Bộ Văn — chữ, văn",文字,wénzì,văn tự,Màu sắc & trừu tượng
方,fāng,"Bộ Phương — vuông, hướng",方向,fāngxiàng,phương hướng,Màu sắc & trừu tượng
高,gāo,Bộ Cao — cao,高山,gāoshān,núi cao,Màu sắc & trừu tượng
