chuHan,pinyin,nghia,viDu,viDuPinyin,viDuNghia,chuDe
父,fù,Bộ Phụ — cha,父亲,fùqīn,cha,Con người & hành động
士,shì,Bộ Sĩ — kẻ sĩ,士兵,shìbīng,binh lính,Con người & hành động
老,lǎo,Bộ Lão — già,老人,lǎorén,người già,Con người & hành động
儿,ér,Bộ Nhi — trẻ con,儿子,érzi,con trai,Con người & hành động
入,rù,Bộ Nhập — vào,进入,jìnrù,đi vào,Con người & hành động
比,bǐ,Bộ Tỉ — so sánh,比较,bǐjiào,so sánh,Con người & hành động
立,lì,Bộ Lập — đứng,独立,dúlì,độc lập,Con người & hành động
走,zǒu,"Bộ Tẩu — đi, chạy",走路,zǒulù,đi bộ,Con người & hành động
飞,fēi,Bộ Phi — bay,飞机,fēijī,máy bay,Con người & hành động
行,xíng,"Bộ Hành — đi, làm",行走,xíngzǒu,đi lại,Con người & hành động
