chuHan,pinyin,nghia,viDu,viDuPinyin,viDuNghia,chuDe
玄,xuán,Bộ Huyền — đen huyền,,,,5 nét
玉,yù,Bộ Ngọc — ngọc,,,,5 nét
瓜,guā,Bộ Qua — quả dưa,,,,5 nét
瓦,wǎ,Bộ Ngõa — ngói,,,,5 nét
甘,gān,Bộ Cam — ngọt,,,,5 nét
生,shēng,Bộ Sinh — sinh ra,,,,5 nét
用,yòng,Bộ Dụng — dùng,,,,5 nét
田,tián,Bộ Điền — ruộng,,,,5 nét
疋,pǐ,Bộ Thất — xấp vải; chân,,,,5 nét
疒,nè,Bộ Nạch — bệnh tật,,,,5 nét
癶,bō,Bộ Bát — chân dạng ra,,,,5 nét
白,bái,Bộ Bạch — trắng,,,,5 nét
皮,pí,Bộ Bì — da,,,,5 nét
皿,mǐn,Bộ Mãnh — bát đĩa,,,,5 nét
目,mù,Bộ Mục — mắt,,,,5 nét
矛,máo,Bộ Mâu — cái giáo,,,,5 nét
矢,shǐ,Bộ Thỉ — mũi tên,,,,5 nét
石,shí,Bộ Thạch — đá,,,,5 nét
示,shì,Bộ Thị — chỉ bảo; thần,,,,5 nét
禸,róu,Bộ Nhựu — vết chân thú,,,,5 nét
禾,hé,Bộ Hòa — lúa,,,,5 nét
穴,xué,"Bộ Huyệt — hang, lỗ",,,,5 nét
立,lì,Bộ Lập — đứng,,,,5 nét
竹,zhú,Bộ Trúc — tre,,,,6 nét
米,mǐ,Bộ Mễ — gạo,,,,6 nét
糸,mì,Bộ Mịch — sợi tơ,,,,6 nét
缶,fǒu,Bộ Phẫu — vò sành,,,,6 nét
网,wǎng,Bộ Võng — lưới,,,,6 nét
羊,yáng,"Bộ Dương — dê, cừu",,,,6 nét
羽,yǔ,Bộ Vũ — lông vũ,,,,6 nét
老,lǎo,Bộ Lão — già,,,,6 nét
而,ér,"Bộ Nhi — mà, và",,,,6 nét
耒,lěi,Bộ Lỗi — cái cày,,,,6 nét
耳,ěr,Bộ Nhĩ — tai,,,,6 nét
聿,yù,Bộ Duật — cây bút,,,,6 nét
肉,ròu,Bộ Nhục — thịt,,,,6 nét
臣,chén,Bộ Thần — bề tôi,,,,6 nét
自,zì,Bộ Tự — tự; mũi,,,,6 nét
至,zhì,Bộ Chí — đến,,,,6 nét
臼,jiù,Bộ Cữu — cái cối,,,,6 nét
舌,shé,Bộ Thiệt — lưỡi,,,,6 nét
舛,chuǎn,Bộ Suyễn — trái ngược,,,,6 nét
舟,zhōu,Bộ Chu — thuyền,,,,6 nét
艮,gèn,Bộ Cấn — quẻ Cấn; bền,,,,6 nét
色,sè,Bộ Sắc — màu sắc,,,,6 nét
艸,cǎo,Bộ Thảo — cỏ,,,,6 nét
虍,hū,Bộ Hô — vằn hổ,,,,6 nét
虫,chóng,Bộ Trùng — sâu bọ,,,,6 nét
血,xuè,Bộ Huyết — máu,,,,6 nét
行,xíng,Bộ Hành — đi; làm,,,,6 nét
衣,yī,Bộ Y — áo,,,,6 nét
襾,yà,Bộ Á — che đậy,,,,6 nét
