chuHan,pinyin,nghia,viDu,viDuPinyin,viDuNghia,chuDe
门,mén,Bộ Môn — cửa,大门,dàmén,cổng lớn,Đồ vật & tính chất
车,chē,Bộ Xa — xe,汽车,qìchē,ô tô,Đồ vật & tính chất
衣,yī,"Bộ Y — áo, quần áo",衣服,yīfu,quần áo,Đồ vật & tính chất
食,shí,"Bộ Thực — ăn, thức ăn",食物,shíwù,thức ăn,Đồ vật & tính chất
金,jīn,"Bộ Kim — vàng, kim loại",黄金,huángjīn,vàng,Đồ vật & tính chất
言,yán,Bộ Ngôn — lời nói,语言,yǔyán,ngôn ngữ,Đồ vật & tính chất
刀,dāo,Bộ Đao — dao,小刀,xiǎodāo,con dao,Đồ vật & tính chất
弓,gōng,Bộ Cung — cung (nỏ),弓箭,gōngjiàn,cung tên,Đồ vật & tính chất
大,dà,Bộ Đại — lớn,大人,dàrén,người lớn,Đồ vật & tính chất
小,xiǎo,Bộ Tiểu — nhỏ,小孩,xiǎohái,trẻ nhỏ,Đồ vật & tính chất
力,lì,Bộ Lực — sức lực,力气,lìqi,sức lực,Đồ vật & tính chất
