chuHan,pinyin,nghia,viDu,viDuPinyin,viDuNghia,chuDe
心,xīn,"Bộ Tâm — tim, lòng",,,,4 nét
戈,gē,Bộ Qua — giáo mác,,,,4 nét
戶,hù,Bộ Hộ — cửa một cánh,,,,4 nét
手,shǒu,Bộ Thủ — tay,,,,4 nét
支,zhī,Bộ Chi — cành; chống,,,,4 nét
攴,pū,Bộ Phộc — đánh khẽ,,,,4 nét
文,wén,"Bộ Văn — chữ, văn",,,,4 nét
斗,dǒu,Bộ Đẩu — cái đấu,,,,4 nét
斤,jīn,Bộ Cân — cái rìu,,,,4 nét
方,fāng,"Bộ Phương — vuông, hướng",,,,4 nét
无,wú,Bộ Vô — không,,,,4 nét
日,rì,"Bộ Nhật — mặt trời, ngày",,,,4 nét
曰,yuē,Bộ Viết — nói rằng,,,,4 nét
月,yuè,Bộ Nguyệt — mặt trăng,,,,4 nét
木,mù,"Bộ Mộc — cây, gỗ",,,,4 nét
欠,qiàn,Bộ Khiếm — thiếu; ngáp,,,,4 nét
止,zhǐ,Bộ Chỉ — dừng,,,,4 nét
歹,dǎi,Bộ Đãi — xương tàn; xấu,,,,4 nét
殳,shū,Bộ Thù — binh khí,,,,4 nét
毋,wú,"Bộ Vô — chớ, đừng",,,,4 nét
比,bǐ,Bộ Tỉ — so sánh,,,,4 nét
毛,máo,Bộ Mao — lông,,,,4 nét
氏,shì,Bộ Thị — họ,,,,4 nét
气,qì,"Bộ Khí — hơi, không khí",,,,4 nét
水,shuǐ,Bộ Thủy — nước,,,,4 nét
火,huǒ,Bộ Hỏa — lửa,,,,4 nét
爪,zhǎo,Bộ Trảo — móng vuốt,,,,4 nét
父,fù,Bộ Phụ — cha,,,,4 nét
爻,yáo,Bộ Hào — hào (quẻ),,,,4 nét
爿,qiáng,Bộ Tường — mảnh gỗ,,,,4 nét
片,piàn,"Bộ Phiến — mảnh, tấm",,,,4 nét
牙,yá,Bộ Nha — răng,,,,4 nét
牛,niú,"Bộ Ngưu — trâu, bò",,,,4 nét
犬,quǎn,Bộ Khuyển — chó,,,,4 nét
